experiment,channel,window_index,sampling_rate_hz,raw_bytes,compressed_bytes,reduction_percent,reconstruction_exact,rice_parameters,selected_mode
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),82,1000.0,3000,1238,58.73,True,"7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,8,7,7,7,7,8,7,7,7,7,8,7,7,7,8,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),83,1000.0,3000,1220,59.33,True,"7,7,7,7,7,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),84,1000.0,3000,1217,59.43,True,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),85,1000.0,3000,1219,59.37,True,"7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),86,1000.0,3000,1218,59.4,True,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,8,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),87,1000.0,3000,1221,59.3,True,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),88,1000.0,3000,1217,59.43,True,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),89,1000.0,3000,1222,59.27,True,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),90,1000.0,3000,1215,59.5,True,"7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),91,1000.0,3000,1220,59.33,True,"7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
